"area","year","date","stand_number","plot","surveyer","nearest_tract","productivity","north","east","pct","half_height","pine_undamaged","pine_stems","pine_winter_damage_stems","proportion_pine_damage_winter","spruce_undamaged","spruce_stems","spruce_damaged","downy_total","downy_height","downy_damage","silver_total","silver_height","silver_damage","rowan_total","rowan_height","rowan_damage","aspen_total","aspen_height","aspen_damage","salix_total","salix_height","salix_damage","oak_total","oak_height","oak_damage","moose_pellets","red_deer_pellets","small_deer_pellets","reindeer_pellets","wild_boar","downy_damage_N","silver_damage_N","rowan_damage_N","aspen_damage_N","salix_damage_N","oak_damage_N","coord_type","east_orig","north_orig","coord_type_fixed","north_model","north_model_c"
"Lofsdalen",2024,"2024-06-13","FG2","10","VL","FG-17","gr",62.0748603333333,13.5213915,"N",1,2,2,NA,0,1,1,NA,1,1.5,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5213915,62.0748603333333,"wgs84",62.0748603333333,-0.0649479702364744
"Lofsdalen",2024,"2024-06-13","FG2","5","VL","FG-17","gr",62.0755331666667,13.5214121666667,"N",1.3,4,4,NA,0,2,2,NA,27,2,"≤10",NA,NA,NA,7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5214121666667,62.0755331666667,"wgs84",62.0755331666667,-0.0642751369030705
"Lofsdalen",2024,"2024-06-13","FG2","2","VL","FG-17","gr",62.0758906666667,13.521459,"N",1.5,4,4,NA,0,1,1,NA,9,1.5,"≤10",NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.521459,62.0758906666667,"wgs84",62.0758906666667,-0.0639176369030707
"Lofsdalen",2024,"2024-06-13","FG2","9","VL","FG-17","gr",62.0749495,13.5214753333333,"N",1.2,7,7,NA,0,1,1,NA,7,1.6,"≤10",NA,NA,NA,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5214753333333,62.0749495,"wgs84",62.0749495,-0.0648588035697699
"Lofsdalen",2024,"2024-06-20","FG2","6","VL","FG-17","gr",62.0753555,13.521517,"N",0.9,4,4,NA,0,6,6,NA,11,1.2,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.521517,62.0753555,"wgs84",62.0753555,-0.0644528035697718
"Lofsdalen",2024,"2024-06-13","FG2","3","VL","FG-17","gr",62.0758073333333,13.5215215,"N",1.2,1,2,NA,0,1,1,NA,9,1.6,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5215215,62.0758073333333,"wgs84",62.0758073333333,-0.0640009702364708
"Lofsdalen",2024,"2024-06-13","FG2","8","VL","FG-17","gr",62.0750868333333,13.5215746666667,"N",1.5,3,5,1,20,NA,NA,NA,16,1.6,"11_25",NA,NA,NA,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5215746666667,62.0750868333333,"wgs84",62.0750868333333,-0.0647214702364707
"Lofsdalen",2024,"2024-06-13","FG2","7","VL","FG-17","gr",62.0752751666667,13.5216851666667,"N",1.9,2,2,NA,0,NA,NA,NA,11,1.5,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5216851666667,62.0752751666667,"wgs84",62.0752751666667,-0.0645331369030728
"Lofsdalen",2024,"2024-06-13","Fg15","8","VL","FG-23","lgn",62.1002263333333,13.5354503333333,"N",0.6,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.5354503333333,62.1002263333333,"wgs84",62.1002263333333,-0.039581970236469
"Lofsdalen",2024,"2024-06-13","Fg15","9","VL","FG-23","lgn",62.1003965,13.5354855,"N",0.6,1,1,NA,0,NA,NA,NA,2,1.5,"11_25",NA,NA,NA,3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5354855,62.1003965,"wgs84",62.1003965,-0.0394118035697701
"Lofsdalen",2024,"2024-06-13","Fg15","7","VL","FG-23","lgn",62.1000008333333,13.5354953333333,"N",0.5,1,1,NA,0,NA,NA,NA,1,1,"0",NA,NA,NA,3,1,NA,NA,NA,NA,2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.5354953333333,62.1000008333333,"wgs84",62.1000008333333,-0.0398074702364752
"Lofsdalen",2024,"2024-06-13","Fg15","10","VL","FG-23","lgn",62.100452,13.535832,"N",0.5,2,3,1,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.535832,62.100452,"wgs84",62.100452,-0.0393563035697753
"Lofsdalen",2024,"2024-06-13","Fg15","6","VL","FG-23","lgn",62.0998348333333,13.5361245,"N",0.7,1,2,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.5361245,62.0998348333333,"wgs84",62.0998348333333,-0.0399734702364754
"Lofsdalen",2024,"2024-06-13","Fg15","5","VL","FG-23","lgn",62.0997536666667,13.5364648333333,NA,NA,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.5364648333333,62.0997536666667,"wgs84",62.0997536666667,-0.0400546369030721
"Lofsdalen",2024,"2024-06-13","Fg15","4","VL","FG-23","lgn",62.0998785,13.536783,"N",0.7,7,8,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.536783,62.0998785,"wgs84",62.0998785,-0.0399298035697697
"Lofsdalen",2024,"2024-06-13","Fg15","3","VL","FG-23","lgn",62.1000381666667,13.537003,"N",0.8,4,5,NA,0,NA,NA,NA,7,1.8,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.537003,62.1000381666667,"wgs84",62.1000381666667,-0.0397701369030727
"Lofsdalen",2024,"2024-06-13","Fg15","2","VL","FG-23","lgn",62.1001375,13.5372836666667,"N",0.8,3,4,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.5372836666667,62.1001375,"wgs84",62.1001375,-0.0396708035697699
"Lofsdalen",2024,"2024-06-13","Fg15","1","VL","FG-23","lgn",62.1002768333333,13.5376533333333,"N",0.7,3,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.5376533333333,62.1002768333333,"wgs84",62.1002768333333,-0.0395314702364757
"Lofsdalen",2024,"2024-06-13","2_7","7","ATT","18","bb",62.08882504,13.55861665,"N",0.9,1,2,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.55861665,62.08882504,"wgs84",62.08882504,-0.0509832635697691
"Lofsdalen",2024,"2024-06-13","2_7","6","ATT","18","gr",62.08899019,13.55868454,"N",0.8,6,6,NA,0,3,3,NA,22,5,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.55868454,62.08899019,"wgs84",62.08899019,-0.0508181135697754
"Lofsdalen",2024,"2024-06-13","2_7","5","ATT","18","gr",62.0891894,13.5587824,"N",1.3,3,3,NA,0,NA,NA,NA,50,3,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5587824,62.0891894,"wgs84",62.0891894,-0.0506189035697702
"Lofsdalen",2024,"2024-06-13","2_7","8","ATT","18","gr",62.08857614,13.5588083,"N",1,4,5,NA,0,NA,NA,NA,21,5,"≤10",NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5588083,62.08857614,"wgs84",62.08857614,-0.0512321635697717
"Lofsdalen",2024,"2024-06-13","2_7","9","ATT","18","gr",62.08849861,13.5589138,"N",2.3,NA,NA,NA,NA,2,3,NA,14,2.8,"≤10",NA,NA,NA,11,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5589138,62.08849861,"wgs84",62.08849861,-0.0513096935697703
"Lofsdalen",2024,"2024-06-13","2_7","3","ATT","8","bb",62.08959365,13.55891836,"N",1,3,5,NA,0,NA,NA,NA,2,2,"11_25",NA,NA,NA,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.55891836,62.08959365,"wgs84",62.08959365,-0.0502146535697747
"Lofsdalen",2024,"2024-06-13","2_7","4","ATT","18","bb",62.08936841,13.55893644,"N",0.8,7,7,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.55893644,62.08936841,"wgs84",62.08936841,-0.0504398935697736
"Lofsdalen",2024,"2024-06-13","2_7","10","ATT","8","gr",62.0882298,13.55901023,"N",1,2,4,2,50,NA,NA,NA,15,2.5,"11_25",NA,NA,NA,5,1.1,NA,NA,NA,NA,1,0.45,NA,NA,NA,NA,1,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.55901023,62.0882298,"wgs84",62.0882298,-0.0515785035697718
"Lofsdalen",2024,"2024-06-13","2_7","2","ATT","18","bb",62.08980475,13.55949556,"N",2.8,NA,1,NA,0,6,6,NA,5,3,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.55949556,62.08980475,"wgs84",62.08980475,-0.0500035535697734
"Lofsdalen",2024,"2024-06-13","2_7","1","ATT","18","gr",62.08997775,13.55968153,"N",1.8,NA,NA,NA,NA,3,3,NA,1,1.3,"≤10",NA,NA,NA,9,0.6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.55968153,62.08997775,"wgs84",62.08997775,-0.0498305535697696
"Lofsdalen",2024,"2024-06-11","Fg32","1","ATT","12","lgn",62.04254894,13.56971569,"Y",2.8,1,4,NA,0,NA,1,NA,42,0.9,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.56971569,62.04254894,"wgs84",62.04254894,-0.0972593635697692
"Lofsdalen",2024,"2024-06-11","Fg32","2","ATT","12","lgn",62.04275275,13.56997663,"Y",2.3,1,5,NA,0,NA,NA,NA,5,1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.56997663,62.04275275,"wgs84",62.04275275,-0.0970555535697741
"Lofsdalen",2024,"2024-06-11","Fg32","3","ATT","12","lgn",62.0428489,13.57022426,"Y",2.3,NA,5,NA,0,NA,NA,NA,3,0.35,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.57022426,62.0428489,"wgs84",62.0428489,-0.0969594035697696
"Lofsdalen",2024,"2024-06-11","Fg32","10","ATT","12","lgn",62.04202013,13.57045925,"Y",2.4,1,5,NA,0,NA,1,NA,23,0.7,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.57045925,62.04202013,"wgs84",62.04202013,-0.097788173569775
"Lofsdalen",2024,"2024-06-11","Fg32","9","ATT","12","lgn",62.0419617,13.57067744,"Y",2.6,2,8,NA,0,NA,NA,NA,10,1.1,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.57067744,62.0419617,"wgs84",62.0419617,-0.0978466035697707
"Lofsdalen",2024,"2024-06-11","Fg12","4","ATT","12","lgn",62.04285888,13.57077722,"Y",2,1,6,NA,0,NA,NA,NA,23,3,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.57077722,62.04285888,"wgs84",62.04285888,-0.0969494235697752
"Lofsdalen",2024,"2024-06-11","Fg32","8","ATT","12","lgn",62.04194239,13.57108932,"Y",3.2,2,8,NA,0,NA,NA,NA,17,0.8,"26_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,"wgs84_ok",13.57108932,62.04194239,"wgs84",62.04194239,-0.0978659135697697
"Lofsdalen",2024,"2024-06-11","Fg32","7","ATT","12","lgn",62.04195388,13.57144424,"Y",1.8,1,3,NA,0,NA,NA,NA,15,0.4,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.57144424,62.04195388,"wgs84",62.04195388,-0.0978544235697711
"Lofsdalen",2024,"2024-06-11","Fg32","5","ATT","12","lgn",62.04271025,13.57152472,"Y",2.2,2,5,NA,20,NA,NA,NA,22,5,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.57152472,62.04271025,"wgs84",62.04271025,-0.0970980535697734
"Lofsdalen",2024,"2024-06-11","Fg32","6","ATT","12","lgn",62.04225471,13.57158755,"Y",2.3,3,8,NA,0,NA,1,NA,3,2,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.57158755,62.04225471,"wgs84",62.04225471,-0.0975535935697707
"Lofsdalen",2024,"2024-06-10","Fg31","6","VL","FG-09","lgn",62.0237858333333,13.572907,"Y",0.4,3,4,NA,25,3,5,1,10,1.3,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.572907,62.0237858333333,"wgs84",62.0237858333333,-0.116022470236473
"Lofsdalen",2024,"2024-06-11","Fg30","9","ATT","1","bb",61.97125008,13.57308037,"N",1.3,NA,NA,NA,NA,NA,NA,NA,4,1.6,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.57308037,61.97125008,"wgs84",61.97125008,-0.168558223569775
"Råneå",2024,"2024-06-10","Fg31","7","VL","FG-09","lgn",62.0238935,13.5731056666667,"Y",0.5,1,2,NA,0,3,3,NA,14,1,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.5731056666667,62.0238935,"wgs84",62.0238935,-0.115914803569773
"Lofsdalen",2024,"2024-06-11","Fg30","8","ATT","1","bb",61.97108913,13.57311651,"N",2.5,NA,NA,NA,NA,NA,NA,NA,11,1.7,"26_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,"wgs84_ok",13.57311651,61.97108913,"wgs84",61.97108913,-0.16871917356977
